Domain,Type,Sponsoring Organisation,Date
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2023-02-24
.mortgage,generic,"United TLD Holdco, Ltd",2023-02-24
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2023-02-24
.motorcycles,generic,"DERMotorcycles, LLC",2023-02-24
.mov,generic,Charleston Road Registry Inc.,2023-02-24
.movie,generic,"New Frostbite, LLC",2023-02-24
.mtn,generic,MTN Dubai Limited,2023-02-24
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2023-02-24
.nagoya,generic,"GMO Registry, Inc.",2023-02-24
.navy,generic,United TLD Holdco Ltd.,2023-02-24
.net,generic,VeriSign Global Registry Services,2023-02-24
.network,generic,"Trixy Manor, LLC",2023-02-24
.neustar,generic,"NeuStar, Inc.",2023-02-24
.new,generic,Charleston Road Registry Inc.,2023-02-24
.news,generic,United TLD Holdco Ltd.,2023-02-24
.nexus,generic,Charleston Road Registry Inc.,2023-02-24
.ngo,generic,Public Interest Registry,2023-02-24
.nhk,generic,Japan Broadcasting Corporation (NHK),2023-02-24
.nico,generic,"DWANGO Co., Ltd.",2023-02-24
.ninja,generic,United TLD Holdco Ltd.,2023-02-24
.nissan,generic,"NISSAN MOTOR CO., LTD.",2023-02-24
.nra,generic,"NRA Holdings Company, INC.",2023-02-24
.nrw,generic,Minds + Machines GmbH,2023-02-24
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2023-02-24
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2023-02-24
.okinawa,generic,BusinessRalliart inc.,2023-02-24
.one,generic,One.com A/S,2023-02-24
.ong,generic,Public Interest Registry,2023-02-24
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2023-02-24
.online,generic,DotOnline Inc.,2023-02-24
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2023-02-24
.org,generic,Public Interest Registry (PIR),2023-02-24
.organic,generic,Afilias Limited,2023-02-24
.osaka,generic,"Interlink Co., Ltd.",2023-02-24
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2023-02-24
.ovh,generic,OVH SAS,2023-02-24
.page,generic,Charleston Road Registry Inc.,2023-02-24
.panerai,generic,Richemont DNS Inc.,2023-02-24
.paris,generic,City of Paris,2023-02-24
.partners,generic,"Magic Glen, LLC",2023-02-24
.parts,generic,"Sea Goodbye, LLC",2023-02-24
.party,generic,Blue Sky Registry Limited,2023-02-24
.pharmacy,generic,National Association of Boards of Pharmacy,2023-02-24
.photo,generic,"Uniregistry, Corp.",2023-02-24
.photography,generic,"Sugar Glen, LLC",2023-02-24
.photos,generic,"Sea Corner, LLC",2023-02-24
.physio,generic,PhysBiz Pty Ltd,2023-02-24
.piaget,generic,Richemont DNS Inc.,2023-02-24
.pics,generic,"Uniregistry, Corp.",2023-02-24
.pictet,generic,Pictet Europe S.A.,2023-02-24
.pictures,generic,"Foggy Sky, LLC",2023-02-24
.pink,generic,Afilias Limited,2023-02-24
.pizza,generic,"Foggy Moon, LLC",2023-02-24
.place,generic,"Snow Galley, LLC",2023-02-24
.plumbing,generic,"Spring Tigers, LLC",2023-02-24
.plus,generic,"Sugar Mill, LLC",2023-02-24
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-02-24
.poker,generic,Afilias Domains No. 5 Limited,2023-02-24
.porn,generic,ICM Registry PN LLC,2023-02-24
.praxi,generic,Praxi S.p.A.,2023-02-24
.press,generic,DotPress Inc.,2023-02-24
.prod,generic,Charleston Road Registry Inc.,2023-02-24
.productions,generic,"Magic Birch, LLC",2023-02-24
.prof,generic,Charleston Road Registry Inc.,2023-02-24
.properties,generic,"Big Pass, LLC",2023-02-24
.property,generic,"Uniregistry, Corp.",2023-02-24
.pub,generic,United TLD Holdco Ltd.,2023-02-24
.qpon,generic,"dotCOOL, Inc.",2023-02-24
.quebec,generic,PointQuébec Inc,2023-02-24
.racing,generic,Premier Registry Limited,2023-02-24
.realtor,generic,Real Estate Domains LLC,2023-02-24
.recipes,generic,"Grand Island, LLC",2023-02-24
.red,generic,Afilias Limited,2023-02-24
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2023-02-24
.rehab,generic,United TLD Holdco Ltd.,2023-02-24
.reise,generic,dotreise GmbH,2023-02-24
